Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,datetime,time_gap,segment_id,true_anomaly,hour,day_of_week,month,day_of_year,is_weekend,hour_sin,hour_cos,day_sin,day_cos,year_sin,year_cos,active_power_lag_1,active_power_lag_5,active_power_lag_15,active_power_lag_60,active_power_rolling_mean_15,active_power_rolling_std_15,active_power_rolling_min_15,active_power_rolling_max_15,active_power_rolling_mean_60,active_power_rolling_std_60,active_power_rolling_min_60,active_power_rolling_max_60,active_power_change_1,active_power_change_rate,deviation_from_15min_mean,deviation_from_60min_mean,rolling_zscore_15,rolling_zscore_60,active_power_change_rate_log,rolling_zscore_15_log,rolling_zscore_60_log,predicted_anomaly,anomaly_score,best_predicted_anomaly,final_predicted_anomaly,final_anomaly_score
11/4/2010,20:55:00,7.082,0.0,233.86,30.4,76.0,0.0,17.0,2010-04-11 20:55:00,0 days 00:01:00,14,0,20,6,4,101,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.986146248341595,-0.16587819893463143,21.018280182824547,7.946,6.112,0.348,7.647085345521636,3.802505298374616,5.976,21.018280182824547,3.4905046697137427,3.4332002634447463,0.348,21.018280182824547,-13.936280182824547,-0.6630551785658296,-0.565085345521636,3.591495330286257,-0.1486086937901657,1.0461071463051455,-0.5086563797961386,-0.13855137845142326,0.7159390348313353,1,-0.13938605108219637,1,1,-0.13938605108219637
3/2/2007,19:12:00,29.359842878460327,0.454,228.9,71.43169774568022,35.0,34.0,16.0,2007-02-03 19:12:00,0 days 00:01:00,0,1,19,5,2,34,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0.5521013427459208,0.8337770129585915,7.454,5.442,7.484,3.5,6.767066666666667,0.895852305003899,5.404,7.504,5.676666666666667,1.6955589715456298,3.376,7.904,21.905842878460327,2.9388033189773286,22.592776211793662,23.68317621179366,25.219309126737507,13.967769101067987,1.3708769510278282,3.266496128893731,2.7058991626815043,1,-0.13721195120820384,1,1,-0.13721195120820384
3/2/2007,19:23:00,7.848,0.692,229.23,34.2,36.0,36.0,16.0,2007-02-03 19:23:00,0 days 00:01:00,0,0,19,5,2,34,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0.5521013427459208,0.8337770129585915,7.164,7.846,5.418,3.758,8.099589525230689,5.947144769247766,5.38,29.359842878460327,6.591397381307672,3.3189659599352197,3.69,29.359842878460327,0.6840000000000002,0.09547737360729014,-0.2515895252306892,1.2566026186923276,-0.04230425439307272,0.3786126865600195,0.09119022589877424,-0.04143389149046383,0.32107769392237095,1,-0.13671501486741133,1,1,-0.13671501486741133
12/4/2009,20:54:00,5.956,0.36,232.55,25.6,44.0,0.0,17.0,2009-04-12 20:54:00,0 days 00:01:00,10,0,20,6,4,102,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.9831469737221499,-0.1828169249850199,20.749830718544146,7.926,5.94,1.872,8.05998871456961,3.6262890876742926,5.94,20.749830718544146,4.923763845309069,3.192206830800252,1.544,20.749830718544146,-14.793830718544147,-0.7129614793609571,-2.103988714569609,1.0322361546909313,-0.5802043531832688,0.3233613012575883,-0.5382237318509374,-0.45755417613327265,0.28017494025923806,1,-0.13665097868344123,1,1,-0.13665097868344123
5/11/2008,13:45:00,16.20762688614692,0.52,239.17,42.97502553374544,1.0,40.0,17.0,2008-11-05 13:45:00,0 days 00:01:00,6,1,13,2,11,310,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.8136678304455991,0.5813300798152042,5.888,7.024,4.912,2.444,7.01,1.1800121064754119,4.912,8.862,4.292633333333333,1.8933901973835436,2.298,8.862,10.319626886146919,1.7526537251177299,9.197626886146919,11.914993552813586,7.794519086434959,6.292941396484883,1.012565437325932,2.1741286963573696,1.9869069483856727,1,-0.13489630173965228,1,1,-0.13489630173965228
3/2/2007,19:25:00,5.818,0.722,231.2,25.4,5.0,36.0,16.0,2007-02-03 19:25:00,0 days 00:01:00,0,0,19,5,2,34,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0.5521013427459208,0.8337770129585915,7.82,5.968,7.424,3.884,8.365322858564022,5.877811642875197,5.38,29.359842878460327,6.72586404797434,3.2840985098921323,3.69,29.359842878460327,-2.0020000000000007,-0.2560101974411513,-2.547322858564023,-0.9078640479743401,-0.43337946387781345,-0.2764423921023487,-0.22794018699485652,-0.36003491761431006,-0.2440768271098204,1,-0.13404967046763938,1,1,-0.13404967046763938
3/2/2007,19:22:00,7.164,0.688,230.23,31.2,36.0,20.0,16.0,2007-02-03 19:22:00,0 days 00:01:00,0,0,19,5,2,34,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0.5521013427459208,0.8337770129585915,5.964,7.752,5.442,3.564,7.9847895252306875,5.9830068970040315,5.38,29.359842878460327,6.531397381307672,3.3409067801227237,3.564,29.359842878460327,1.1999999999999993,0.20120720972380776,-0.8207895252306878,0.6326026186923279,-0.13718679242066312,0.18935057465718638,0.18332705921009768,-0.12855748660544045,0.17340742257337835,1,-0.13316843870206896,1,1,-0.13316843870206896
3/2/2007,19:16:00,7.576,0.462,230.14,32.8,36.0,34.0,16.0,2007-02-03 19:16:00,0 days 00:01:00,0,0,19,5,2,34,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0.5521013427459208,0.8337770129585915,5.938,7.454,5.44,3.646,7.868389525230688,6.010028238800278,5.38,29.359842878460327,6.217764047974339,3.4277703393762735,3.564,29.359842878460327,1.638,0.2758504082434476,-0.2923895252306883,1.3582359520256606,-0.04865027477625547,0.3962447356589266,0.24361294313111964,-0.04750388467249822,0.3337863010514094,1,-0.13151412299031462,1,1,-0.13151412299031462
3/2/2007,19:24:00,7.82,0.676,229.23,34.2,35.0,35.0,17.0,2007-02-03 19:24:00,0 days 00:01:00,0,0,19,5,2,34,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0.5521013427459208,0.8337770129585915,7.848,6.408,6.264,3.842,8.261589525230688,5.9018044915871375,5.38,29.359842878460327,6.659564047974339,3.3017424144300884,3.69,29.359842878460327,-0.02799999999999958,-0.003567787516846593,-0.44158952523068784,1.1604359520256615,-0.0748227979866432,0.3514616848831206,-0.003561438060822234,-0.07215580890997905,0.30118673626451115,1,-0.1304236499153274,1,1,-0.1304236499153274
4/3/2007,19:32:00,10.154,0.502,229.72,44.4,36.0,61.0,16.0,2007-03-04 19:32:00,0 days 00:01:00,0,0,19,6,3,63,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0.8837203473619977,0.4680153284438345,8.862,6.964,3.96,5.55,6.645333333333332,1.5571904492507604,3.96,8.862,4.425999999999999,1.6523064106201322,2.834,8.862,1.2919999999999998,0.1457910013776798,3.5086666666666675,5.728000000000001,2.253203304936051,3.4666693557463155,0.13609522938991758,1.1796401432130936,1.496643020321332,1,-0.12947224592569317,1,1,-0.12947224592569317
